"ID","AREA","NAME","TYPE","SUMMARY","ADDRESS","PAYEX","SERVICETIME","TW97X","TW97Y","TOTALCAR","TOTALMOTOR","lat","lng","formattedAddress"
"10127","板橋區","愛買南雅店路外停車場","2","平面式臨時路外停車場","新北市板橋區貴興路119巷","小型車計時每小時20元;","9~23時","296048","2766056","105","0",25.001814303855035,121.45619541956202,"220台灣新北市板橋區貴興路119巷7號"
"10065","板橋區","中華電信學院第一停車場","2","平面式建築附設停車空間","板橋區民族路168號","小型車月租每月2000元;小型車月租每月3500元;","0~24時","297010","2766786","44","0",25.008375267578156,121.46575051426376,"220台灣新北市板橋區民族路166-168號"
"10068","板橋區","板橋金站停車場","2","立體式-機械建築附設停車空間","新北市板橋區館前西路6號地下1樓至地下3樓","小型車計時每小時50元;","0~24時","296341.5","2766645","43","0",25.007122901151412,121.45912280172618,"220台灣新北市板橋區館前西路4-1號"
"10064","板橋區","馥都飯店停車場","2","立體式建築附設停車空間","新北市板橋區縣民大道1段189號B1~B4","小型車計時每小時100元;","07~23時","296388.5","2766847","49","0",25.008945135437155,121.45959522318246,"220台灣新北市板橋區縣民大道一段193號"
"10132","板橋區","愛買南雅店收費停車場","2","立體式建築附設停車空間","新北市板橋區貴興路101號","小型車計時每小時50元;","0~24時","296049.6","2766152","204","153",25.002680952122077,121.45621447096426,"220台灣新北市板橋區貴興路101號"
"10134","板橋區","全群停車場","2","立體式建築附設停車空間","新北市板橋區四維路230巷2號","小型車計時每小時20元;小型車計次每次100元;小型車月租每月5000元;","0~24時","296839.5","2768969","61","0",25.028088809496055,121.46413542677209,"220台灣新北市板橋區四維路266巷2弄27號"
"10069","板橋區","星聚點板橋站停車場","2","立體式建築附設停車空間","板橋區中山路一段1號B2","小型車計時每小時80元;","0~24時","296367.5","2766678.5","79","0",25.00742454653863,121.4593815119885,"220台灣新北市板橋區中山路一段2巷1號"
"10136","板橋區","仁化收費停車場","2","平面式臨時路外停車場","新北市板橋區仁化街54號旁","小型車計時每小時40元;","0~24時","298019.8","2769392","11","0",25.031870688286244,121.4758455056238,"220台灣新北市板橋區仁化街56號"
"10054","板橋區","板橋區府中一區、二區、三區平面停車場","2","平面式臨時路外停車場","新北市板橋區縣民大道、重慶路口","小型車計時每小時100元;小型車月租每月8000元;機車月租每月2000元;機車計次每次60元;","0~24時","296526","2766952","39","81",25.009888867634913,121.46096101158263,"220台灣新北市板橋區中山路一段65號"
"10114","板橋區","國立臺灣藝術大學停車場","2","立體式多目標附建停車場","新北市板橋區大觀路一段59號","小型車計時每小時20元;","0~24時","295192.8","2766511","88","0",25.005947830995893,121.44773808656862,"220台灣新北市板橋區大觀路一段59號"
"10120","板橋區","台灣聯通府中停車場","2","立體式建築附設停車空間","新北市板橋區中山路一段104號B1","小型車計時每小時60元;小型車月租每月7000元;","0~24時","296692.7","2767019","12","0",25.010488620401638,121.46261483228257,"220台灣新北市板橋區內山公路104號"
"10096","板橋區","Times板橋金門街停車場","2","平面式臨時路外停車場","新北市板橋區金門街306-2號對面","小型車計時每小時80元;小型車月租每月8000元;","0~24時","293286.9","2764212","17","0",24.98524779219124,121.42878418564398,"220台灣新北市板橋區金門街312號"
"10018","板橋區","板橋區府中立體停車場","1","立體式-塔臺都市計畫停車場","板橋區西門街59號","小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3000元;","0~24時","295844","2767052","158","0",25.01081246571601,121.45420751685619,"220台灣新北市板橋區西門街22號"
"10004","板橋區","民生花市停車場","1","平面式都市計畫停車場","民生路2段200及207號對面","小型車計時每小時30元;小型車月租每月3500元;小型車月租每月2800元;身障車月租每月2000元;","0~24時","297335","2768249","109","0",25.02157320222452,121.46902053253162,"220台灣新北市板橋區東西向快速公路八里新店線(五股/新莊)21號"
"10121","板橋區","百揚大樓 MEGA TOWEWR 停車場","2","立體式-機械建築附設停車空間","新北市板橋區新站路18號B2~B4、4~9F","小型車計時每小時60元;","0~24時","297110.8","2767353","712","0",25.013491051685502,121.46676851056401,"220台灣新北市板橋區新站路28號新北市板橋區新站路28號板橋大遠百 Mega City"
"10046","板橋區","板橋國中地下停車場","1","立體式多目標附建停車場","板橋區中正路437號B1","小型車計時每小時20元;小型車計時每小時30元;小型車計次每次200元;小型車月租每月3800元;","0~24時","295825","2768506","100","0",25.023939864263852,121.4540675551831,"220台灣新北市板橋區中正路437號"
"10016","板橋區","溪洲公園平面停車場","1","平面式臨時路外停車場","新北市板橋區滿平街84巷102號對面","小型車計時每小時20元;小型車計時每小時30元;小型車月租每月2500元;","0~24時","293188.5","2764263","60","0",24.98571103271346,121.427811085917,"220台灣新北市板橋區篤行路三段玉平巷76弄6號"
"10022","板橋區","435藝文特區平面停車場","1","平面式臨時路外停車場","新北市板橋區中正路435號","大型車計時每小時40元;大型車計時每小時60元;小型車計時每小時20元;小型車計時每小時30元;大型車月租每月3600元;小型車月租每月2400元;","0~24時","295619","2768421","21","5",25.023178698713544,121.45202359619267,"220台灣新北市板橋區中正路379巷"
"10015","板橋區","崑崙公園平面停車場","1","平面式臨時路外停車場","板橋區大觀路3段160巷31弄5號對面","小型車計時每小時20元;小型車月租每月2500元;","0~24時","293340","2765057.5","56","5",24.992879569398152,121.42933667507506,"220台灣新北市板橋區大觀路三段160巷31弄32號"
"10108","板橋區","浮洲橋下平面停車場","1","平面式臨時路外停車場","板橋區大觀路3段8之1號後方","小型車計時每小時20元;小型車月租每月2000元;","0~24時","293886.1","2765341","30","0",24.995423336147454,121.43475535809327,"220台灣新北市板橋區浮洲高架快速道路中正路大觀路三段50巷浮洲橋"
"10031","板橋區","板橋車站地下停車場","1","立體式都市計畫停車場","新北市板橋區縣民大道二段7號B2、B3","小型車計時每小時40元;小型車計次每次200元;小型車月租每月4000元;機車計時每小時10元;機車計次每次50元;","0~24時","296876.5","2767444","883","256",25.01431987431593,121.46445024296915,"220台灣新北市板橋區縣民大道三段13號"
"10144","板橋區","長江停車場","2","平面式臨時路外停車場","新北市板橋區雙十路3段89號對面空地","小型車計時每小時60元;小型車月租每月5000元;","0~24時","297383","2769549","122","0",25.033308159394764,121.4695407873409,"220台灣新北市板橋區雙十路三段89-7號"
"10145","板橋區","忠孝路停車場","2","平面式臨時路外停車場","新北市板橋區忠孝路218號旁空地","小型車月租每月3500元;","0~24時","297103.7","2766175","10","0",25.002856203715684,121.46665797974374,"220台灣新北市板橋區忠孝路259號"
"10053","板橋區","新北市政府體育處板橋場區第一運動場地下停車場","2","立體式多目標附建停車場","板橋區漢生東路278號","小型車計時每小時20元;小型車月租每月4000元;","0~24時","297428","2767061.5","35","0",25.010849473427438,121.46990119479295,"220台灣新北市板橋區漢生東路274-275號"
"10001","板橋區","莊敬停車場","1","立體式-塔臺都市計畫停車場","新北市板橋區莊敬路2號","小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3000元;","0~24時","297826","2769021","280","0",25.028527423060638,121.47391225766101,"220台灣新北市板橋區莊敬路2號"
"10149","板橋區","大漢停車場","1","立體式多目標附建停車場","新北市板橋區民生路3段119號對面","小型車計時每小時30元;小型車月租每月3000元;小型車月租每月2400元;身障車月租每月1500元;機車計次每次20元;機車月租每月400元;","0~24時","297089.8","2768734","323","314",25.025959452791128,121.46660757747462,"220台灣新北市板橋區東西向快速公路八里新店線(五股/新莊)"
"10036","板橋區","特專三臨時平面停車場","1","平面式臨時路外停車場","新北市板橋區漢生東路64號旁空地","小型車計時每小時20元;小型車計時每小時30元;小型車月租每月3000元;機車計次每次10元;機車月租每月150元;大型車計時每小時40元;大型車計時每小時60元;","0~24時","296922","2767636","271","2365",25.01605185421612,121.46490757038953,"220台灣新北市板橋區站前路"
